,title,link,tag
129,"Mathematical Language Models: A Survey
",https://arxiv.org/abs/2312.07622,
130,Privacy Issues in Large Language Models: A Survey,https://arxiv.org/abs/2312.06717,
131,Efficient Large Language Models: A Survey,https://arxiv.org/abs/2312.03863,
132,A Survey on Prompting Techniques in LLMs,https://arxiv.org/abs/2312.03740,
133,"A Survey on Large Language Model (LLM) Security and Privacy: The Good, the Bad, and the Ugly",https://arxiv.org/abs/2312.02003,
134,"Trust, distrust, and appropriate reliance in (X)AI: a survey of empirical evaluation of user trust",https://arxiv.org/abs/2312.02034,
135,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,https://arxiv.org/abs/2312.00678,
136,Large Language Models Meet Computer Vision: A Brief Survey,https://arxiv.org/abs/2311.16673,
137,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,https://arxiv.org/abs/2311.12351,
138,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",https://arxiv.org/abs/2311.10372,
139,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",https://arxiv.org/abs/2311.10372,
140,A Survey of Confidence Estimation and Calibration in Large Language Models,https://arxiv.org/abs/2311.08298,
141,Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey,https://arxiv.org/abs/2311.07914,
142,How to Bridge the Gap between Modalities: A Comprehensive Survey on Multimodal Large Language Model,https://arxiv.org/abs/2311.07594,
143,"Trends in Integration of Knowledge and Large Language Models: A Survey and Taxonomy of Methods, Benchmarks, and Applications",https://arxiv.org/abs/2311.05876,
144,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",https://arxiv.org/abs/2311.05232,
145,A Survey of Large Language Models Attribution,https://arxiv.org/abs/2311.03731,
146,Diffusion Models for Reinforcement Learning: A Survey,https://arxiv.org/abs/2311.01223,
147,LLM4Drive: A Survey of Large Language Models for Autonomous Driving,https://arxiv.org/abs/2311.01043,
148,What Formal Languages Can Transformers Express? A Survey,https://arxiv.org/abs/2311.00208,
149,AI Alignment: A Comprehensive Survey,https://arxiv.org/abs/2310.19852,
150,Evaluating Large Language Models: A Comprehensive Survey,https://arxiv.org/abs/2310.19736,
151,Pitfalls in Language Models for Code Intelligence: A Taxonomy and Survey,https://arxiv.org/abs/2310.17903,
152,Natural Language Interfaces for Tabular Data Querying and Visualization: A Survey,https://arxiv.org/abs/2310.17894,
153,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,https://arxiv.org/abs/2310.16570,
154,A Survey on Detection of LLMs-Generated Content,https://arxiv.org/abs/2310.15654,
155,"A Survey on LLM-Generated Text Detection: Necessity, Methods, and Future Directions",https://arxiv.org/abs/2310.14724,
156,"Survey on Factuality in Large Language Models: Knowledge, Retrieval and Domain-Specificity",https://arxiv.org/abs/2310.07521,
157,A Survey on Image-text Multimodal Models,https://arxiv.org/abs/2309.15857,
158,"Navigate through Enigmatic Labyrinth A Survey of Chain of Thought Reasoning: Advances, Frontiers and Future",https://arxiv.org/abs/2309.15402,
159,Large Language Model Alignment: A Survey,https://arxiv.org/abs/2309.15025,
160,An In-depth Survey of Large Language Model-based Artificial Intelligence Agents,https://arxiv.org/abs/2309.14365,
161,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/abs/2309.07864,
162,A Survey of Hallucination in Large Foundation Models,https://arxiv.org/abs/2309.05922,
163,Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,https://arxiv.org/abs/2309.01219,
164,Large Language Models for Generative Recommendation: A Survey and Visionary Discussions,https://arxiv.org/abs/2309.01157,
165,Explainability for Large Language Models: A Survey,https://arxiv.org/abs/2309.01029,
166,Bias and Fairness in Large Language Models: A Survey,https://arxiv.org/abs/2309.00770,
167,Reinforcement Learning for Generative AI: A Survey,https://arxiv.org/abs/2308.14328,
168,A Survey of Diffusion Based Image Generation Models: Issues and Their Solutions,https://arxiv.org/abs/2308.13142,
169,Efficient Training of Large Language Models on Distributed Infrastructures: A Survey,https://arxiv.org/abs/2407.20018,
